"","x"
"453","@Mark_Butler_MP Theworld is lying about CO2 being the driving force for CC. IPCC models are useless as the ignore factors and history in understanding climate changes. Eg the sun, undersea volcanos, plate tectonics and urban warming. Recalibration of manipulat of data to fit a bias also."
"454","@jtemple The EPA puts it at 4.2% for the US, so there is considerable room for world improvement without the need to ban meat. Land which is unsuitable for crops due to Climate Change could be used for livestock."
"455","@PEspinosaC @lofioramonti @marthadelgado @EarthDayNetwork Mrs Espinosa, did you get the msg about the opportunity of reducing GHG emissions by reducing time advances (going from DST systems back to Standard Time)?
Also good for Health. 
See our letter to UN / @antonioguterres 
https://t.co/yFXSIEQDYA
Worried we are not hearing back.
3"
"456","@misterp55 @dpcarrington @guardianeco @GretaThunberg Politicians are very aware of the issues. The problem is that by attempting to deal with them, they will have to do the opposite of what they have espoused for the last few decades. 

Why do you think there is so much bullshit out there re CC and who do you think put it there?"
"457","@mzjacobson @EickeRWeber @BrianVad @HJFell @ChristianOnRE @tonyseba @MichaelEMann @SvenTeske also need to look at construction/metals ettc resources needed for such system and environmental impacts."
"458","@algore @jjhorgan @MayorGregor Youre all a bunch of blow hards! In the so eloquent words of Eddie Murphy, do is all a huge favour and pull your lip over your head and swallow
#AbuseOfPower #FuckOff you all fit into the category below, you should all feel shame. https://t.co/fnINRwujzI"
"459","@CarolineLucas People on Legacy Benefits are having to pay more because of #Covid19 but aren't getting the 20 uplift payment that people on UC, people who are working or simply don't need the money are getting. Why is no-one talking about it? Why are we being ignored? #Budget2021"
"460","@algore Nice to see..."
"461","@ed_hawkins @PatrickFbpe COVID and lockdowns might have helped a lot!"
"462","@LeoDiCaprio @HBODocs Lolz. And you still fly around in private jets. #Hypocrisy"
"463","@CoppiceJT @HeatCalculation @JonathanWaxman1 @AssaadRazzouk @BuffaloGrid @energiseafrica Delighted to hear that. "
"464","@TerryMac999 @jonburkeUK @RHarrabin Well, good for the farmers.  You wouldnt happen to know what the radiation levels might be on those Welsh mountains would you?  Has anyone taken a recent survey?  If so, was it above any significant threshold that might effect safety?"
"465","@CFigueres The ""raging fire of climate change""

really ?"
"466","@AssaadRazzouk @AIIB_Official Also UK stops open cast coal mine due to climate emergency - in Northumberland @SaveDruridge"
"467","@ChiefExecCCC Also...UK gov were more than happy to step in and over-rule local powers when it came to granting Cuadrilla permission to go ahead with fracking in Lancashire. Can't they do the same here?"
"468","@antonioguterres JuntaMakeRainwayBomb. PlsHelpAremsless people
#R2PMyanmar
#whatshappeningnowinmyanmar
#Mar18Coup_genocide
 @RapporteurUn @KenRoth
@YangheeLeeSKKU @JakeSullivan46 @DKAmbMyanmar
@SchranerBurgen1 @POTUS 
@BorisJohnson @SecBlinken @antonioguterres @GCR2P https://t.co/Q7ArlsQdnh"
"469","@ChrisRose_BLUE @SenSchumer What other countries willing to forgo their economy before a plan/program in place NONE, they dont have idiots in government like we do.This a fools errand and Schumer should be removed from congress, way pass time."
"470","@mwt2008 @pilitaclark @FT I think not

Cars should be ready at a moment's compulsion

$s of car batts shud not be squandered in low value usage.

Car's utility drops."
"471","@algore Dont LIE to US"
"472","@cathmckenna I realize that partisanship encourages a closed mind. But simply put ""think out of the box"". Any gov't can press the button called Tax. What's uniquely innovative in that?"
"473","@LansingDave @GovInslee @waDNR take responsibility and accept risk.
Dont expose yourself to life if you dont want to take risk.
It is not my responsibility to control NATURE for anyone.
And it certainly isnt the government's place to try and control bature either. To expect that is irrational."
"474","@CarolineLucas @CEEbill_NOW Stop with your rubbish just stop lying."
"475","@GretaThunberg Go to China and protest."
"476","@antonioguterres @UN No fao propaganda pra merda nem uma nem pra onu UNESCO unisef ou qualque merda inventada fo tudo se fude"
"477","@GretaThunberg Right on! https://t.co/sd0BgRHSGs"
"478","@gary_lawrence1 @GeorgeMonbiot Moles are pest, so are marxists"
"479","@AngusTaylorMP @PressClubAust https://t.co/BpnmPkxBbT"
"480","@MohamedNasheed They saythetruthcomes out when you're drunk.
As it turnsout, published research proves that statement is surprisingly accurate. When drinking alcohol,thetongue is freed up to say exactly what is in a person's heart https://t.co/2X23HMUO4N"
"481","@NamugerwaLeah @ExtinctionR @GretaThunberg @Fridays4future @Luisamneubauer @MikeHudema @Greenpeace You go girl ( stay safe )   "
"482","@MikeBloomberg Send money to biden"
"483","@algore TeamTerra, in this context, is also young and naive #WakeUp #ClimateChange"
"484","@DrKateMarvel @coralsncaves I feel this so much. But I'm happy our professional lives have crossed, it's helped me get through the muck. So thank you and I'm glad you're sticking around science!"
"485","@GretaThunberg So impressed and inspired by your commitment to our environment. You have friends all over the world that love and support you and your efforts. We are with you."
"486","@GretaThunberg @mehdirhasan @MehdiHasanShow @MSNBC Shut up Greata, you take money only to interfer in #Brown countries by sharing #Toolkits that's democratic is it? You are a #Closet #Racist or a #AnarchistForHire because God forbid you do the same in #WhiteCountries"
"487","@rahmstorf Herr Rahmstorf, es wre sehr gut wenn Biden gewinnt, allerdings ist zu befrchten das der Senat in Republikaner Hand bleibt und somit wichtige Gesetze (auch bzgl. Klimaschutz) verhindert, wie bereits unter Obama."
"488","@SenSchumer @latelateshow So glad my tax dollars are covering that bridge. Should help relieve the vid too!"
"489","6/ Using this newly assembled dataset, I then calculate CO emissions, giving for the first time bottom-up estimates of India's emissions by month. An analysis of emissions seasonality gets around a lot of the noise to show some clear patterns. https://t.co/7OU4msnF1l"
"490","@SenSanders #GoGreen #DumpThePump #OneWorldTogether #SmartSelfTests"
"491","@AlokSharma_RDG @PreCop26ITA God help us. Like really. Now"
"492","@Mark_Butler_MP @CatherineKingMP @healthy_climate @croakeyblog @anmf_federal @DocsEnvAus Car fuel companies drive a fractured community, aged disabled young poor each miss out and make a poor quality society, cars are made to run 20 hrs a day and they should, all the personal garages can be granny flats or accommodation, and etransport makes clean air: no mercury"
"493","@RHarrabin @BorisJohnson Fantastic news! Planet's doing fine thanks Roger.
https://t.co/WsSjMDc8H4"
"494","@mangofoto @AngusTaylorMP @QuentinDempster Why?
It has always happened"
"495","(The two studies used similar modelsthe biggest differences were assumptions about future oil/gas prices, which can sway CCS deployment.) Now, the models could still be wrong! But if you're curious why I didn't just dismiss the study because of Exxon/BP, that was one reason. /19"
"496","@SenSchumer @KristyStacey2 Id rather have UBI. #UBINow."
"497","@SenFeinstein https://t.co/NjgmAmP1uk"
"498","@Mark_Butler_MP Jesus (happy birthday by the way) @Mark_Butler_MP , welcome to Attack of the Trolls! Must be inspiring to see ALL of the tired, coal-fired crap dragged out in one twitter post. At least the LNP knows theyve got a dozen or so votes (even though most of them are on the payroll)."
"499","@LeoDiCaprio Yes."
"500","@LeoDiCaprio  Os ndios so os verdadeiros herdeiros do nosso Brasil.
 E tentam tira- Los a todo custo de suas terras."
